Aishe_Code,Name,State,District,Website,Year_Of_Establishment,Location,Slug
U-0239,"NITTE Unversity, Mangalore",Karnataka,Dakshina Kannada,www.nitte.edu.in,2008,Rural,nitte
U-1197,Vidyashilp University,Karnataka,Bengaluru Rural,www.vidyashilp.edu.in,2021,Rural,vidyashilp
U-1276,GM UNIVERSITY,Karnataka,Davangere,www.gmu.ac.in,-,Urban,gmu1
U-1281,Kishkinda University,Karnataka,Ballari,www.kishkindauniversity.edu.in,-,Rural,kishkindauniversity
U-0228,"Karnataka State Open University, Mysore",Karnataka,Mysuru,ksoumysuru.ac.in,1996,Urban,ksoumysuru
U-0230,"Karnataka University, Dharwad",Karnataka,Dharwad,www.kud.ac.in,1949,Urban,kud
U-0231,"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",Karnataka,Bidar,www.kvafsu.edu.in,2005,Urban,kvafsu
U-0232,"Kuvempu University, Shankaraghatta, Shimoga",Karnataka,Shivamogga,www.kuvempu.ac.in,1987,Rural,kuvempu
U-0233,"Mangalore University, Mangalore",Karnataka,Dakshina Kannada,www.mangaloreuniversity.ac.in,1980,Rural,mangaloreuniversity
U-0237,"National Institute of Technology, Karnataka",Karnataka,Dakshina Kannada,www.nitk.ac.in,1960,Urban,nitk
U-0240,"Rajiv Gandhi University of Health Sciences, Bangalore",Karnataka,Bengaluru Urban,www.rguhs.ac.in,1994,Urban,rguhs
U-0244,"Tumkur University, Tumkur",Karnataka,Tumakuru,www.tumkuruniversity.ac.in,2004,Rural,tumkuruniversity
U-0246,"University  of Agricultural Sciences, Dharwad",Karnataka,Dharwad,www.uasd.edu,1947,Urban,uasd
U-0247,"University  of Agricultural Sciences, Raichur",Karnataka,Raichur,www.uasraichur.edu.in,2009,Urban,uasraichur
U-0248,"University of Agricultural Sciences, Bangalore",Karnataka,Bengaluru Urban,www.uasbangalore.edu.in,1963,Urban,uasbangalore
U-1123,NRUPATHUNGA UNIVERSITY,Karnataka,Bengaluru Urban,nublr.karnataka.gov.in,1921,Urban,nublr
U-0222,JSS ACADEMY OF HIGHER EDUCATION & RESEARCH,Karnataka,Mysuru,www.jssuni.edu.in,2008,Urban,jssuni
U-0226,"Kannada University, Hampi, Kamalapura",Karnataka,Vijayanagar,www.kannadauniversity.org,1991,Rural,kannadauniversity
U-1288,UNIVERSITY OF VISVESVARAYA COLLEGE OF ENGINEERING,Karnataka,Bengaluru Urban,uvce.ac.in,-,Urban,uvce
U-0238,"National Law School of India University, Bangalore",Karnataka,Bengaluru Urban,www.nls.ac.in,1986,Urban,nls
U-1290,CHAMARAJANAGARA UNIVERSITY,Karnataka,Chamarajanagara,cuc.karnataka.gov.inkn,-,Rural,cuc
U-1294,AMITY UNIVERSITY,Karnataka,Bengaluru Rural,www.amity.edubengaluru,-,Rural,amity4
U-1090,BENGALURU DR.B.R.AMBEDKAR SCHOOL OF ECONOMICS UNIVERSITY,Karnataka,Bengaluru Urban,www.base.ac.in,2017,Urban,base
U-0250,"Yenepoya (deemed to be University), Mangalore",Karnataka,Dakshina Kannada,www.yenepoya.edu.in,1992,Rural,yenepoya
U-0745,THE UNIVERSITY OF TRANS-DISCIPLINARY HEALTH SCIENCES AND TECHNOLOGY,Karnataka,Bengaluru Urban,,2013,Urban,theuniof
U-0249,"Visvesvaraya Technological University, Belagavi",Karnataka,Belagavi,www.vtu.ac.in,1994,Rural,vtu
U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Karnataka,Bengaluru Urban,www.nimhans.ac.in,1974,Urban,nimhans
U-1089,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR,Karnataka,Raichur,www.iiitr.ac.in,2019,Urban,iiitr
U-0214,BLDE (Deemed to be University),Karnataka,Vijayapura,www.bldedu.ac.in,1986,Urban,bldedu
U-0245,"University  of Horticultural Sciences, Bagalkot",Karnataka,Bagalkote,uhsbagalkot.karnataka.gov.in,2008,Urban,uhsbagalkot
U-0229,"Karnataka State Women University, Bijapur",Karnataka,Vijayapura,www.kswub.ac.in,2003,Rural,kswub
U-1047,MAHARANI CLUSTER UNIVERSITY,Karnataka,Bengaluru Urban,mcu.karnataka.gov.in,1938,Urban,mcu
U-1050,MANDYA UNIVERSITY,Karnataka,Mandya,www.mandyauniversity.ac.in,2019,Urban,mandyauniversity
U-1311,Bidar University,Karnataka,Bidar,,-,Rural,biduni
U-0242,Sri Siddhartha Academy of Higher Education,Karnataka,Tumakuru,www.sahe.in,2008,Rural,sahe
U-1037,KHAJA BANDANAWAZ UNIVERSITY,Karnataka,Kalaburagi,www.kbn.university,2018,Urban,kbn
